,Filename,File Extension,Time Created,Time Modified
0,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(0)_In_PlaneAnis_K(0)_Ratio(1).mx3,mx3,2020-03-17 12:45:06,2020-04-04 14:19:56
1,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(0)_In_PlaneAnis_K(0)_Ratio(1).out,out,2020-03-17 12:57:03,2020-03-17 12:57:04
2,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(0.0)_In_PlaneAnis_K(10000)_Ratio(1).mx3,mx3,2020-03-17 12:45:07,2020-03-17 12:00:38
3,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(0.0)_In_PlaneAnis_K(10000)_Ratio(1).out,out,2020-03-17 13:05:17,2020-03-17 13:05:17
4,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(0.0)_In_PlaneAnis_K(100000)_Ratio(1).mx3,mx3,2020-03-17 12:45:07,2020-03-17 12:00:39
5,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(0.0)_In_PlaneAnis_K(100000)_Ratio(1).out,out,2020-03-17 13:09:08,2020-03-17 13:09:09
6,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(0.0)_In_PlaneAnis_K(20000)_Ratio(1).mx3,mx3,2020-03-17 12:45:06,2020-03-17 12:00:38
7,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(0.0)_In_PlaneAnis_K(20000)_Ratio(1).out,out,2020-03-17 13:11:17,2020-03-17 13:11:17
8,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(0.0)_In_PlaneAnis_K(30000)_Ratio(1).mx3,mx3,2020-03-17 12:45:07,2020-03-17 12:00:38
9,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(0.0)_In_PlaneAnis_K(30000)_Ratio(1).out,out,2020-03-17 13:14:15,2020-03-17 13:14:15
10,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(0.0)_In_PlaneAnis_K(40000)_Ratio(1).mx3,mx3,2020-03-17 12:45:07,2020-03-17 12:00:38
